iso3,q33,q67
ABW,0.6931471805599453,1.3862943611198906
AFG,1.0986122886681096,2.0794415416798357
AGO,1.082393684343783,1.6167307747058586
ALB,1.6094379124341003,3.05894364257024
ARG,2.1972245773362196,4.07753744390572
ARM,1.3862943611198906,2.4849066497880004
AUS,3.1354942159291497,4.304065093204169
AUT,1.9459101490553132,3.7612001156935624
AZE,1.0986122886681096,2.0794415416798357
BEL,1.3862943611198906,2.8903717578961645
BFA,1.0986122886681096,1.6094379124341003
BGD,1.791759469228055,2.8903717578961645
BGR,1.6094379124341003,2.772588722239781
BHR,1.0986122886681096,1.6094379124341003
BIH,1.3862943611198906,2.1972245773362196
BLR,1.791759469228055,2.8903717578961645
BLZ,0.6931471805599453,1.0986122886681096
BMU,0.6931471805599453,0.9810274073167422
BOL,1.6094379124341003,2.801688540711671
BRA,2.9444389791664403,3.7612001156935624
BRB,0.6931471805599453,1.0986122886681096
BTN,1.3862943611198906,2.1972245773362196
CAF,1.0986122886681096,1.9459101490553132
CAN,3.367295829986474,6.306203680321668
CHE,2.0794415416798357,4.007333185232471
CHL,2.4849066497880004,3.9318256327243257
CHN,5.770224273468881,6.938662574206534
CIV,1.3862943611198906,2.1972245773362196
CMR,1.3862943611198906,2.3978952727983707
COD,1.0986122886681096,1.9459101490553132
COG,0.6931471805599453,1.0986122886681096
COL,2.1972245773362196,2.833213344056216
CRI,1.3862943611198906,2.639057329615259
CUB,1.6094379124341003,2.4849066497880004
CYP,1.3862943611198906,2.5649493574615367
CZE,1.0986122886681096,2.4849066497880004
DEU,1.0986122886681096,2.639057329615259
DMA,0.6931471805599453,1.0986122886681096
DNK,1.3862943611198906,2.833213344056216
DOM,1.0986122886681096,1.791759469228055
DZA,1.6094379124341003,2.639057329615259
ECU,1.3862943611198906,2.4849066497880004
EGY,2.1972245773362196,3.2188758248682006
ESP,1.791759469228055,4.219507705176107
EST,1.3862943611198906,3.1354942159291497
ETH,1.253960607792073,1.9459101490553132
FIN,1.0986122886681096,1.791759469228055
FJI,0.6931471805599453,1.6094379124341003
FRA,2.70805020110221,4.851089082624294
GEO,1.0986122886681096,1.791759469228055
GHA,1.6094379124341003,2.639057329615259
GIN,1.0986122886681096,1.6094379124341003
GLP,1.0986122886681096,1.791759469228055
GRC,1.6094379124341003,3.4339872044851463
GTM,1.0986122886681096,1.791759469228055
GUF,1.0986122886681096,1.791759469228055
HKG,4.472765336148758,5.615290079585912
HND,1.0986122886681096,1.791759469228055
HRV,3.295836866004329,4.672828834461906
HTI,1.3862943611198906,2.1972245773362196
HUN,1.6094379124341003,2.935788223763198
IDN,2.302585092994046,2.995732273553991
IND,2.772588722239781,3.9889840465642745
IRL,1.6094379124341003,3.367295829986474
IRN,1.6094379124341003,3.2188758248682006
IRQ,1.3862943611198906,2.4993143371692375
ISL,1.3862943611198906,2.772588722239781
ISR,1.9459101490553132,3.4965075614664802
ITA,2.3978952727983707,4.204692619390966
JAM,1.0986122886681096,1.6094379124341003
JOR,1.3862943611198906,2.1972245773362196
JPN,3.091042453358316,4.98401617961256
KAZ,1.6094379124341003,2.833213344056216
KEN,1.6094379124341003,2.3978952727983707
KGZ,1.0986122886681096,2.1972245773362196
KHM,1.3862943611198906,2.1972245773362196
KOR,1.791759469228055,4.0248111355700695
KWT,3.085178314390641,4.432220451635764
LAO,1.6094379124341003,2.4849066497880004
LBN,1.2625910699656249,2.2425295990690857
LCA,0.6931471805599453,1.0986122886681096
